"Source:","C:\Users\Anton Gale\Documents\exerion\exerion.kicad_sch"
"Date:","9/8/2022 7:40:35 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","248"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"16","18","R5, R16, R17, R18, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34","220","Device:R_US","","~"
"17","2","R6, R8","150","Device:R_US","","~"
"18","1","R7","R_US","Device:R_US","","~"
"19","3","R13, R14, R15","470","Device:R_US","","~"
"20","1","RN1","620","Device:R_Network08_US","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"21","2","RN2, RN3","1K","Device:R_Network08_US","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"22","1","SW1L1","DIPSW1","Switch:SW_DIP_x08","","~"
"23","1","SW2L1","DIPSW2","Switch:SW_DIP_x03","","~"
"24","18","U1, U2R1, U2S1, U3B1, U3C1, U3F1, U3H1, U3K1, U5B1, U5D1, U5E1, U5H1, U6LM1, U7K1, U8H1, U10N1, U10P1, U12P1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"25","2","U1,2F1, U1,2V1","AY-3-8910","arcade:AY-3-8910","",""
"26","1","U1B1","74LS368","jt74:74LS368","","http://www.ti.com/lit/gpn/sn74LS368"
"27","2","U1C_1, U4","74LS14","74xx:74LS14","","http://www.ti.com/lit/gpn/sn74LS14"
"28","10","U1D_1, U7A1, U7A_1, U7D_1, U7E_1, U7J_1, U8T_1, U9F_1, U9H1, U9M_1","74LS74","74xx:74LS74","","74xx/74hc_hct74.pdf"
"29","1","U1E1","N82S123N","arcade:N82S123N","",""
"30","9","U2, U5ST_1, U6ST_1, U9_C1, U9_P1, U9C_1, U9C_2, U9K_1, U9P_1","74LS04","74xx:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"31","2","U2A_1, U2B_1","74LS107","74xx:74LS107","","http://www.ti.com/lit/gpn/sn74LS107"
"32","3","U2C1, U2K1, U6P1","74LS367","jt74:74LS367","","http://www.ti.com/lit/gpn/sn74LS367"
"33","8","U2D1, U2E1, U4ML1, U5A1, U5C1, U5F1, U5J1, U11J1","74LS153","jt74:74LS153","","http://www.ti.com/lit/gpn/sn74LS153"
"34","9","U2F_1, U4LK_1, U7U_1, U9_D1, U9B_1, U9D_1, U9E_1, U9T_1, U11T_1","74LS32","jt74:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"35","2","U2H1, U2J1","74LS257","jt74:74LS257","","http://www.ti.com/lit/gpn/sn74LS257"
"36","6","U2M1, U2N1, U3, U5P1, U12M1, U12N1","74LS245","jt74:74LS245","","http://www.ti.com/lit/gpn/sn74LS245"
"37","8","U3A1, U3D1, U3E1, U3J1, U6B1, U6C1, U6F1, U6H1","74LS191","jt74:74LS191","","http://www.ti.com/lit/gpn/sn74LS191"
"38","2","U3D2, U4KJ1","6301","arcade:82S126-9","",""
"39","8","U3M1, U3P1, U3T1, U8E1, U8H2, U9R1, U9S1, U10U1","74LS138","jt74:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"40","1","U3R_1","74LS139","jt74:74LS139","","http://www.ti.com/lit/gpn/sn74LS139"
"41","2","U3S1, U3S_1","74LS02","74xx:74LS02","","http://www.ti.com/lit/gpn/sn74ls02"
"42","1","U3V1","ICX","arcade:ICX","",""
"43","7","U4B1, U4D1, U4E1, U4H1, U4S1, U4T1, U6K1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"44","3","U4N_1, U4V1, U6N1","HM6116P-3","arcade:HM6116P-3","",""
"45","2","U4P1, U11L1","27128","Memory_EPROM:27128","Package_DIP:DIP-28_W15.24mm","http://eeshop.unl.edu/pdf/27128.pdf"
"46","1","U5,6V1","Z80CPUB","CPU:Z80CPU","","www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080"
"47","2","U5UT1, U6UT1","74LS89","jt74:74LS89","","http://www.ti.com/lit/gpn/sn74LS89"
"48","11","U6A1, U6D1, U6E1, U6J1, U8A1, U8B1, U8C1, U8D1, U10R1, U10S1, U10T1","74LS193","jt74:74LS193","","http://www.ti.com/lit/gpn/sn74LS193"
"49","10","U7B_1, U7H_1, U7N_1, U7S_1, U8J_1, U8N_1, U9J_1, U9U_1, U9U_2, U11U_1","74LS86","jt74:74LS86","","74xx/74ls86.pdf"
"50","2","U7F_1, U7T_1","74LS08","74xx:74LS08","","http://www.ti.com/lit/gpn/sn74LS08"
"51","1","U7L1","74LS175","jt74:74LS175","","http://www.ti.com/lit/gpn/sn74LS175"
"52","9","U7M1, U7R1, U7V1, U8M1, U10J1, U11E1, U11M1, U11V1, U12J1","74LS157","jt74:74LS157","","http://www.ti.com/lit/gpn/sn74LS157"
"53","6","U8H3, U8R1, U8S1, U9N1, U11H1, U12H1","74LS161","jt74:74LS161","","http://www.ti.com/lit/gpn/sn74LS161"
